treatment,Lenacapavir,Cabotegravir LA,TDF/FTC on-demand,TAF/FTC daily,TDF/FTC daily,TDF daily (mono),Dapivirine ring,Placebo
Lenacapavir,–,0.20 (0.05–0.82),0.19 (0.03–1.41),0.06 (0.01–0.21),0.05 (0.01–0.17),0.05 (0.01–0.17),0.04 (0.01–0.15),0.03 (0.01–0.10)
Cabotegravir LA,4.98 (1.22–20.30),–,0.95 (0.17–5.14),0.27 (0.12–0.62),0.24 (0.13–0.45),0.22 (0.11–0.47),0.19 (0.09–0.43),0.14 (0.07–0.27)
TDF/FTC on-demand,5.27 (0.71–39.26),1.06 (0.19–5.74),–,0.29 (0.06–1.52),0.25 (0.05–1.21),0.24 (0.05–1.16),0.21 (0.04–1.01),0.14 (0.03–0.68)
TAF/FTC daily,18.17 (4.86–67.91),3.64 (1.60–8.29),3.45 (0.66–18.03),–,0.87 (0.51–1.46),0.82 (0.44–1.54),0.71 (0.35–1.42),0.50 (0.28–0.90)
TDF/FTC daily,20.95 (5.98–73.36),4.20 (2.23–7.92),3.98 (0.83–19.11),1.15 (0.68–1.94),–,0.95 (0.66–1.35),0.82 (0.51–1.30),0.58 (0.44–0.75)
TDF daily (mono),22.17 (6.02–81.58),4.45 (2.15–9.20),4.21 (0.86–20.53),1.22 (0.65–2.30),1.06 (0.74–1.51),–,0.86 (0.52–1.44),0.61 (0.43–0.86)
Dapivirine ring,25.65 (6.74–97.59),5.15 (2.35–11.29),4.87 (0.99–23.91),1.41 (0.70–2.84),1.22 (0.77–1.95),1.16 (0.69–1.93),–,0.71 (0.48–1.03)
Placebo,36.37 (10.09–131.08),7.30 (3.66–14.53),6.90 (1.47–32.40),2.00 (1.11–3.60),1.74 (1.32–2.27),1.64 (1.16–2.32),1.42 (0.97–2.07),–
