treatment,label,log_IRR,SE,IRR,IRR_lo95,IRR_hi95,efficacy_pct,CI_lo_eff,CI_hi_eff,p_value
LEN,Lenacapavir,-3.5936279474234207,0.6541756213458759,0.027498386536704167,0.007628895777988252,0.09911804855215801,97.25016134632958,90.0881951447842,99.23711042220118,3.943380931291029e-08
CAB_LA,Cabotegravir LA,-1.9873910092192437,0.3516121293002949,0.13705252818660088,0.06880005169599661,0.2730142640784093,86.29474718133991,72.69857359215908,93.11999483040034,1.583837019083942e-08
TDF_FTC_OD,TDF/FTC on-demand,-1.9320850440634714,0.7888730039345824,0.1448458733841564,0.03086056475155742,0.6798426148491096,85.51541266158435,32.01573851508904,96.91394352484426,0.014318537153455753
TAF_FTC,TAF/FTC daily,-0.6940960575238159,0.29997521218671835,0.4995257865387599,0.277468608862713,0.899294563229775,50.04742134612401,10.070543677022503,72.25313911372871,0.020676241929582825
TDF_FTC,TDF/FTC daily,-0.5515788312279976,0.1379078891501167,0.5760396227083001,0.4396051708212102,0.7548174338123844,42.39603772916999,24.51825661876156,56.03948291787898,6.344489472709635e-05
TDF_mono,TDF daily (mono),-0.4950141550622721,0.17787181376750547,0.6095622788432256,0.43014070192139964,0.8638247209082837,39.04377211567744,13.617527909171635,56.98592980786004,0.005386170182914339
DVR,Dapivirine ring,-0.34925960213985846,0.19233451669362012,0.7052100324712133,0.4837266740303867,1.0281037135173758,29.478996752878672,-2.810371351737584,51.62733259696133,0.0693862292201874
