study,treat1,treat2,TE,seTE,setting,region
Lim2018,Pharmacist,UC,0.29044985722450717,0.16044512188229965,Community,Asian
Zhang2019,MDT,UC,0.34208234951197974,0.15833872193890333,Institutionalized,Asian
Huang2020,CDSS,UC,0.35982480487216123,0.1950413431586379,Community,Asian
Park2021,Deprescribing,UC,0.2292636104708116,0.1843291232357976,Community,Asian
Nakamura2019,Pharmacist,UC,0.2966218556284752,0.17027832802417633,Community,Asian
Chen2022,MDT,UC,0.3376949666789511,0.15802336151304586,Institutionalized,Asian
